Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
GANGA AT ALLAHABAD (RASOOLABAD),4.94,,,,,
GANGA RIVER AT BARH,4.925,,,,,
"GANDAK AT SONEPUR, PATNA (B/c GANGA), SARAN",4.925,,,,,
"SATLUJ AT 1 KM. D/S OF ZENITH, PUNJAB",4.916666667,,,,,
"GODAVARI AT BASARA, ADILABAD",4.907142857,,,,,
RIVER TOWKAK AT SONARI,4.9,,,,,
"RIVER CAUVERY AT NAPOKULU BDG (D/S),",4.9,,,,,
"L.H.S.(BELOW BRIDGE CHENAB), JandK",4.9,,,,,
"KRISHNA AT RAJAPUR WEIR, RAJAPUR, SHIROL, KOHLAPUR",4.9,,,,,
"KALINADI AT D/S OF MUZAFFAR NAGAR, U.P.",4.9,,,,,
"GODAVARI RIVER AT NANDUR- MADMESHWAR DAM, NANDUR, NASHIK",4.9,,,,,
"DS OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",4.9,,,,,
SABULIA NADI NEAR RAMBHA (AT JAGANNATHPATNA),4.875,,,,,
"RAMGANGA AT D/S SHERKOT, KALAGARH (U.P.)",4.875,,,,,
DAMODAR D/S SINDRI,4.875,,,,,
"VEDADRI , GUNTUR DIST., A.P",4.866666667,,,,,
"DAMODAR RIVER NEAR BERMO RAILWAY STATION, BOKARO",4.866666667,,,,,
"RIVER MUSI AT NAGOLE, RANGAREDDY",4.8625,,,,,
TAPI AT NEPANAGAR,4.86,,,,,
"RIVER ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL",4.85,,,,,
"MORNA RIVER AT D/S RAILWAY BRIDGE, AKOLA, AKOLA , AKOLA",4.85,,,,,
"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR,",4.85,,,,,
"BEAS AT D/S ALAMPUR, H.P.",4.833333333,,,,,
"SUBARNAREKHA AT CHANDIL BRIDGE, JHARKAND",4.825,,,,,
"YAMUNA AT HANUMANCHATTI, UTTAR PRADESH",4.8,,,,,
"SINGRA RIVER (NEAR BRIDGE ALONG NH37) BOKO, KAMRUP (R )",4.8,,,,,
RIVER MANIPUR AT THOUBAL,4.8,,,,,
MAHANADI A/c WITH TEL (SONEPUR D/S),4.8,,,,,
"BRAHMANI AT PATTAMUNDAI, ORISSA",4.8,,,,,
KUSHABHADRA AT GOP,4.7875,,,,,
"PANCHNAI RIVER AT NH-52 CROSSING, ORANG",4.783333333,,,,,
"DISANG RIVER AT DILLIGHAT, DIBRUGARH",4.775,,,,,
TEESTA AT SILIGURI,4.76,,,,,
RIVER SUTLEJ AT D/S SLAPPER,4.75,,,,,
RIVER SUBARNAREKHA AT BEHRAGORA ODISHA- JHARKHAND,4.75,,,,,
RIVER HINDON AT BARNAWA D/S,4.75,,,,,
"RIVER GODAVARI AT BASARA, ADILABAD",4.75,,,,,
"RIVER CHAMBAL AT FISH FARM, GANDHISAGAR",4.75,,,,,
"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWAN",4.75,,,,,
"MULA RIVER AT HARRISON BRIDGE NEAR MULA- PAWANA SANGAM, BOPODI, HAWELI,",4.75,,,,,
"MANTHRALAYAM , KURNOOL DIST., A.P",4.75,,,,,
"GIRNA RIVER AT MALEGAON ROAD BRIDGE, VILLAGE MALEGAON, TALUKA MALEGAON, DISTRICT NASHIK.",4.75,,,,,
CAUVERY AT TIRUCHIRAPPALLI U/S,4.75,,,,,
"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",4.741666667,,,,,
"MAHANANDA D/S, RAMGHAT",4.7375,,,,,
KUAKHAI AT BHUBANESWAR FU/s,4.733333333,,,,,
KELO RIVER D/S OF RAIGARH,4.733333333,,,,,
RIVER YAMUNA U/S RANBAXY,4.725,,,,,
"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",4.725,,,,,
"MANJEERA RIVER NEAR GANAPATHI SUGARS , MEDAK DIST.",4.725,,,,,
RIVER TAWI AT 1 KM D/S BELOW STP DISCHARGE POINT AT BHAGWATI NAGAR,4.716666667,,,,,
"GANGA AT DALMAU (RAI BAREILLY), U.P.",4.716666667,,,,,
"BETWA D/S, BEENA",4.716666667,,,,,
"WAINGANGA RIVER U/S OF ELLORA PAPER MILL, TUMSAR, TUMSAR, BHANDARA",4.7,,,,,
"WAGHUR RIVER, AT- SAKEGAON BEFORE, CONFLUENCE WITH TAPI RIVER, JALGAON.",4.7,,,,,
RIVER GODAVARI AT MANCHERIAL,4.7,,,,,
RIVER DHANSIRI AT NUTON BASTI,4.7,,,,,
"KATHAKAL U/S AT MATIJURI, DIST. HAILAKANDI, ASSAM",4.7,,,,,
"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA, PARSEONI, NAGPUR",4.7,,,,,
KAMENG,4.7,,,,,
"KABINI AT WATER INTAKE OF KIADB AT NANJANGUD,",4.7,,,,,
"INDRAYANI RIVER AT U/S OF MOSHIGAON,VILLAGE MOSHI, TALUKA HAWELI, .",4.7,,,,,
GANGA AT ARA-CHHAPRA ROAD BRIDGE (KOILWER BANURA- CHHAPRA ROAD),4.7,,,,,
D/S NEAR JANTA GHAT,4.7,,,,,
BINWA AT D/S PAPROLA/ BAIJNATH,4.7,,,,,
SONAI RIVER AT SONAI,4.675,,,,,
SHEDHI AT KHEDA,4.675,,,,,
KABBANI AT MUTHANKARA,4.675,,,,,
RIVER GANGA AT PALTA WEST BENGAL,4.666666667,,,,,
"MALPRABHA AT BADAMI BRIDGE, KARNATAKA",4.666666667,,,,,
"VENNA RIVER AT VARYE, SATARA.",4.665,,,,,
RIVER MAHI AT VASAD,4.65,,,,,
RIVER MAHANADI POWER CHANNEL U/S,4.65,,,,,
"RIVER INDRAYANI AT D/S OF MOSHIGAON, HAWELI, PUNE",4.65,,,,,
"RIVER GUNDAL AT GUNDAL RESERVOIR, KOLLEGALA TQ and CHAMARAJANAGARA DIST",4.65,,,,,
"PAWANA AT PIMPRIGAON, HAWELI, PUNE",4.65,,,,,
CAUVERY AT WATER SUPPLY INTAKE POINT AT T K HALLI,4.65,,,,,
KUSHIARA RIVER AT KARIMGANJ,4.633333333,,,,,
"NAKKAVAGU, BACHUGUDEM, MEDAK",4.625,,,,,
"GANGA AT KHURJI, PATNA U/S",4.625,,,,,
"GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",4.625,,,,,
"AMRAVATI AT VILLAGE DADHAL , TA ANKLESHWAR, BHARUCH",4.62,,,,,
RIVER WAHREW AT MAJAI,4.616666667,,,,,
WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,4.61625,,,,,
TEL,4.6125,,,,,
MAHANADI AT HIRAKUD RESERVOIR,4.6125,,,,,
"WARDHA AT PULGAON RAILWAY BRIDGE, PULGAON, WARDHA, WARDHA",4.6,,,,,
"WAINGANGA AT CHINDWARA,",4.6,,,,,
"SATLUJ AT BOAT BDG. DHARM- KOTNAKODAR RD, JALANDHAR",4.6,,,,,
RIVER TAPI NEAR BARDOLI (KAPP BRIDGE) BARDOLI,4.6,,,,,
"RIVER GODAVARI AT LATUR WATER INTAKE NEAR PUMP HOUSE. VILLAGE. DHAMEGAON, TALUKA. KALUMB, DISTRICT. OSMANABAD.",4.6,,,,,
"RIVER GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",4.6,,,,,
RIVER GANGA AT FARUKKABAD,4.6,,,,,
"MULAMUTHA RIVER AT MUNDHAWA BRIDGE, MUNTHAWA,HAWELI, PUNE",4.6,,,,,
"MANUSMARAT RIGA, SITAMARHI",4.6,,,,,
"KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM, MAHABALESHWAR, SATARA",4.6,,,,,
"JEEWACH GHAT, DARBHANGA",4.6,,,,,
"GANDAK AT REWAGHAT, MUJAFFARPUR, BIHAR",4.6,,,,,
DIKHOW RIVER AT DIKHOMUKH CONFLUENCE WITH BRAHAMPUTRA,4.6,,,,,
DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,4.6,,,,,
NARMADA AT KORIGHAT HOSHANGABAD,4.585714286,,,,,
"RIVER NARMADA AT NEAR ROAD BRIDGE, SANDIA",4.583333333,,,,,
"RIVER CHITE STREAM, NEAR SIPMIU'S STP, BETHLEHEM VENGTHLANG, AIZAWL",4.575,,,,,
"KALYANI RIVER AT U/S PANTNAGAR INDL AREA, Us NAGAR",4.575,,,,,
"YAMUNA AT NIZAMUDDIN, DELHI",4.566666667,,,,,
"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",4.566666667,,,,,
"HASDEO AT U/S KORBA, CHHATISGARH.",4.566666667,,,,,
"BEAS AT D/S DEHRAGOPIPUR, H.P.",4.566666667,,,,,
"TRIBENI ON GANGA, NEAR BURNING GHAT",4.56,,,,,
WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,4.55,,,,,
"URMODI RIVER AT NAGTHANE, SATARA.",4.55,,,,,
U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,4.55,,,,,
SATLUJ AT KHAB,4.55,,,,,
"SATLUJ AT D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",4.55,,,,,
"SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA",4.55,,,,,
RIVER UMSHYRPI AT UMSHYRPI BRIDGE,4.55,,,,,
"RIVER RAMREKHA AT HARINAGAR, WEST CHAMPARAN",4.55,,,,,
RIVER DZUNA RU (CONFLUENCE OF DZUCHA and DZUNA RU) IN KOHIMA,4.55,,,,,
"GANGA AT BUXAR,BIHAR",4.55,,,,,
"DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK",4.55,,,,,
CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVAT,4.55,,,,,
BRAHMANI AT PATTAMUNDAI,4.54,,,,,
"BEAS AT HARIKE, PUNJAB",4.535714286,,,,,
CHAMBAL AT NAGDA U/S (WATER INTAKE POINT) M.P.,4.533333333,,,,,
RIVER KABINI AT SARAGUR VILLAGE D/S,4.525,,,,,
PARVATI AT U/S MANIKARAN,4.521428571,,,,,
"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR, CHANDRAPUR",4.5,,,,,
"TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,JandK",4.5,,,,,
"SIMRAR AT KATNI NEAR ACC W/S INTAKE POINT, JABLAPU",4.5,,,,,
"SIKRANA RIVER AT LAL PARSE, BITTIAH, BIHAR",4.5,,,,,
"SIANG RIVER AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT,",4.5,,,,,
RIVER UMKHEN AT DIENGPASOH,4.5,,,,,
"RIVER SIRSA , U/S SITOMAJRI NALLAHGARH, H.P",4.5,,,,,
"RIVER JIADHAL KUMOTIYA RIVER NEAR JIADHAL BRIDGE, DHEMAJI",4.5,,,,,
RIVER GANGA AT U/S JAIL GHAT,4.5,,,,,
"RIVER BRAHAMNI AT DHENKANAL D/S, DHENKANAL TOWN",4.5,,,,,
"RAM REKHA RIVER AT HARINAGAR,",4.5,,,,,
PATNA TO GANDHI GHAT/NIT GHAT,4.5,,,,,
"PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET, A",4.5,,,,,
"NARMADA AT GARUDESHWAR, GUJARAT",4.5,,,,,
NARMADA 500 M.D/S NEAR JAIN MANDER VILLAGE NEMAWAR,4.5,,,,,
"KOYNA RIVER AT KARAD, VILLAGE KARAD,TALUKA KARAD, DISTRICT SATARA.",4.5,,,,,
"KANHAN RIVER AT D/S OF NAGPUR, VILLAGE AGARGAON, TALUKA KUHI, DISTRICT NAGPUR.",4.5,,,,,
"KALYANI RIVER AT D/S PANTNAGAR INDUSTRIAL AREA, Us NAGAR",4.5,,,,,
"HASDEO 100 METER D/S A/C OF DENGUR NALLAH NERA C.S.E.B. EAST GUEST HOUSE, KORBA",4.5,,,,,
GANDAK ATSAMASTIPUR RD BDG,4.5,,,,,
CAUVERY AT PALLIPALAYAM,4.5,,,,,
"BRAHMPUTRA RIVER AT DHENUKHAPAHAR,",4.5,,,,,
"BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG and DIHANG), ASSAM",4.5,,,,,
"GOHAD DAM, GOHAD, M.P",4.49,,,,,
YAMUNA AT HAMIRPUR,4.4875,,,,,
GANGA DARBHANGA GHAT AT PATNA,4.4875,,,,,
"KARO AT LOHOJIMI U/S, JHARKAND",4.483333333,,,,,
"TUNGABHADRA AT NEW BRIDGE,",4.475,,,,,
RIVER RANGPO AT D/S OF PHARMA PLANT KUMREK,4.475,,,,,
BATHER KHAD WATER SUPPLY SCHEME AT DAL LAKE,4.475,,,,,
MAHI AT SEVALIA,4.46,,,,,
"RIVER GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD, AMBAD, JALNA",4.45,,,,,
"NARMADA AT BHARUCH, ZADESHVAR",4.45,,,,,
"MAHANADI AT PARADEEPD/S, ORISSA",4.45,,,,,
"BRAHMPUTRA NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",4.45,,,,,
DZU D/S KOHIMA TOWN,4.440625,,,,,
GANGA AT GARHMUKTESHWAR,4.44,,,,,
"NARMADA AT AMARKANTAKE FROM ORIGIN POINT, REWA",4.4375,,,,,
"LAKSHMANTIRTHA AT D/S OF KATTEMALAVADI, KARNATAKA",4.433333333,,,,,
CAUVERY AT WATER SUPPLY INTAKE POINT TO MANDYA TOWN,4.433333333,,,,,
"MAHANADI AFTER CONFL. WITH RIVER MAND,CHHATISSGARH",4.43,,,,,
GANGA AT NARORA (BULANDSAHAR),4.43,,,,,
"CHURNI D/S OF SANTIPUR TOWN, WEST BENGAL",4.425,,,,,
"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, BRAMHPURI, CHANDRAPUR",4.4,,,,,
U/S OF KR NAGAR,4.4,,,,,
TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,4.4,,,,,
"SUKHANA RIVER AT PARWANOO, DISTT. SOLAN",4.4,,,,,
RIVER SUTLEJ U/S CONFLUENCE WITH GANVI KHAND HIMACHAL PRADESH,4.4,,,,,
"RIVER BHIMA AT PUNE, D/S OF BUNDGARDEN, YERWADA, HAWELI, PUNE",4.4,,,,,
"RIVER BHIMA AT KOREGAON NEAR KOREGAON BRIDGE, SHIRUR, PUNE",4.4,,,,,
"POONPUN RIVER NEAR POONPUN RAIL BRIDGE, PATNA",4.4,,,,,
"MULA RIVER AT HARRISON BRIDGE NEAR MULA PAWANA SANGAM, BOPODI, HAWELI,",4.4,,,,,
"INDRAYANI RIVER AT D/S OF ALANDIGAON, VILLAGE ALANDIGAON, TALUKA HAWELI, DISTRICT PUNE.",4.4,,,,,
GHAGHARA AT DEORIA D/S,4.4,,,,,
"DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAmLA NALLAH, BURDWAN,WEST BENGAL",4.4,,,,,
"BIRUPA AT CHOUDWAR, ORISSA",4.4,,,,,
"BETWA BEFORE CONF. YAMUNA AT HAMIRPUR,",4.4,,,,,
"BERENG RIVER AT CHOWKHAM,",4.4,,,,,
"AMARAVATI , GUNTUR DIST., A.P",4.4,,,,,
RIVER GOMTI AT NEEMSAR U/S,4.39,,,,,
"YAMUNA AT VISHRAMGHAT, MATHURA",4.375,,,,,
"KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR, DEOGAON",4.375,,,,,
RIVER TIRTHAN B/C TO RIVER SUTLEJ,4.366666667,,,,,
MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,4.36,,,,,
"YAMUNA AT YAMUNOTRI, UTTAR PRADESH",4.35,,,,,
"TAPI AT UBAD VILLAGE,SHAHADA, NANDURBAR",4.35,,,,,
"SUTLEJ AT 100M D/S , NANGAL",4.35,,,,,
SIUEL AT D/S SURGANI,4.35,,,,,
RIVER TAWI BAGHWATI NAGAR (2KM D/S TAWI BRIDGE,4.35,,,,,
"RIVER PUNPUN AT KINJAR ROAD BRIDGE, JEHANABAD-ARWAL BORDER , JEHANABAD",4.35,,,,,
RIVER MAHI AT MUJPUR,4.35,,,,,
HINDON AT GHAZIABAD D/S,4.35,,,,,
D/S OF ASHWANI KHAD (AFTER CONFLUENCE OF LIFT NALLAH),4.35,,,,,
BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,4.35,,,,,
BRAHMANI AT TALCHER U/s,4.3375,,,,,
"WAINGANGA AT CHHAPARA, NEAR ROAD BRIDGE AFTER MIXI",4.325,,,,,
KOEL U/S (AFTER CONFLUENCE OF RIVER KARO),4.3125,,,,,
"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL, BRAMHPURI, CHANDRAPUR",4.3,,,,,
RIVER UMIAM MAWPHLANG AT SHELLA,4.3,,,,,
RIVER TAPTI AT NEPA NAGAR 100 METRE D/S AFTER MIXI,4.3,,,,,
RIVER SUTLEJ D/S KHAIRIAN SOLID WASTE DUMPING SITE BILASPUR,4.3,,,,,
"RIVER RAMGANGA AT KALAGARHBARRAGE,KALAGARH,DIST,PAUDHIGADHWAL (U.K.)",4.3,,,,,
"RIVER MAHANADI AT INTERSTATE BOUNDRY, CHHATISGARH.",4.3,,,,,
"RIVER KIM AT SAHOL BRIDGE, OLPAD HASOT ROAD, DIST SURAT",4.3,,,,,
"RIVER HIRAN, NH -12 ROAD BRIDGE VIL VIKRAMPUR ,DIST NARSINGPUR",4.3,,,,,
"KRISHNA AT GAWALI GALLY,MIRAJ,SANGLI",4.3,,,,,
"KOLAR BEFORE CONFLUENCE TO KANHAN AT WAREGAON, KAMPTEE, NAGPUR",4.3,,,,,
"KOHORA RIVER AT N.H. CROSSING, KOHORA, ASSAM",4.3,,,,,
KHAGRA,4.3,,,,,
"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT",4.3,,,,,
"KAGINA AT SHAHABAD BRIDGE,",4.3,,,,,
"KABINI AT BATHING GHAT, NANJANAGUD",4.3,,,,,
"KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD, KAR",4.3,,,,,
GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,4.3,,,,,
GHATPRABHA AT W.A. POINT TO GOKAK TOWN,4.3,,,,,
D/S SHIMSHA NEAR MADDUAR TOWN,4.3,,,,,
"BRAHMANI AT DHARMASHALA, ORISSA",4.3,,,,,
"RIVER GANGA AT DIAMOND HARBOUR, 24 PARGANAS (S)WEST BENGAL",4.283333333,,,,,
"BEAS D/S NADAUN BRIDGE, VILL BHADOLI",4.283333333,,,,,
RIVER IB AT BRAJARAJNAGAR (INTAKE) D/S,4.266666667,,,,,
"RIVER VARUNA AT RAMESHWAR, VARANASI",4.264285714,,,,,
RANGA NADI D/S OF HYDEL PROJECT,4.2625,,,,,
MAHANADI AT SAMBALPUR U/S,4.2625,,,,,
VISHWAMITRI DOWNSTREAM AT KHALIPUR VILLAG,4.25,,,,,
"SABARI AT KUNAVARAM, KHAMMAM, A.P",4.25,,,,,
"RIVER SENKI AT CHANDRANAGAR, ITANAGAR, (U/S OF PACHIN RIVER)",4.25,,,,,
"RIVER KIM AT SAHOL BRIDGE, OLPAD HANSOT ROAD, DIST. SURATSAHOL, OLPAD HANSOT ROAD, SAHOL BRIDGE,SURAT",4.25,,,,,
RIVER GOMTI AT MOHMEAK U/S,4.25,,,,,
"RIVER CAUVERY AT PETTAIVAITHALAI, TRICHY, TAMILNADU",4.25,,,,,
NARMADA AT MANDLESHWAR M.P.,4.25,,,,,
"KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",4.25,,,,,
"IB AT BRAJRAJNAGAR (INTAKE) D/S, ODISHA",4.25,,,,,
"GODAVARI RIVER AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD.",4.25,,,,,
GANGA AT U/S BHAGALPUR,4.25,,,,,
"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",4.25,,,,,
"DZUDZA RU IN KOHIMA, NAGALAND",4.25,,,,,
DHANSIRI RIVER AT JAHAIGHAT,4.25,,,,,
"CAUVERY AT KRS DAM,BALAMURIKSHETRA,KARNATAKA",4.25,,,,,
"BRAHMANI AT D/S PANPOSH, ORISSA",4.25,,,,,
"BHAVANI AT ELACHIVAZHY, KERALA",4.25,,,,,
"BANAS AT BISULPUR DAM, TONK",4.25,,,,,
KUAKHAI AT BHUBANESWAR U/s,4.2375,,,,,
"RIVER SABARMATI AT KHEROJ BRIDGE,",4.233333333,,,,,
"SUTLEJ AT 100 MT. D/S OF PACL, NANGAL, PUNJAB",4.225,,,,,
RIVER NARMADA AT MANDLESHWAR,4.216666667,,,,,
SANGI DALAN,4.2,,,,,
"RIVER YAMUNA AT U/S DAK PATHER,",4.2,,,,,
"RIVER TUIPUI U/S, NR CONFLUENCE PT KEILUNGLIAH STREAM, VENGTHAR, CHAMPHAI",4.2,,,,,
RIVER RUSHIKULYA AT ASKA,4.2,,,,,
"RIVER RANGIT AT MANPUR(BELOW INDUSTRIAL AREA),NAMCHI DIST SIKKIM",4.2,,,,,
"RIVER KALI EAST AT KHARKHODAPARIKSHIT GARH ROAD, VILL. KOL, MEERUT",4.2,,,,,
"RIVER GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",4.2,,,,,
"RIVER GHOD AT SHIRUR, PUNE",4.2,,,,,
"RIVER BICHIA, BRIDGE GOVINDGARH ROAD",4.2,,,,,
NARMADA AT D/S OF TEXTILE UNIT VILLAGE. HOLIPURA BUDNI,4.2,,,,,
KAMALA RIVER AT BENIPATTI (MADHUBANI),4.2,,,,,
"JAI BHARALI NR BISWANATH CHARALI, SONITPUR",4.2,,,,,
GANGA RIVER NEAR DANAPUR (NEAR PIPAPUL),4.2,,,,,
"GANGA AT BAHARAMPORE, MURSHIDABAD,",4.2,,,,,
CHANDRABHAGA U/S OF PANDHARPUR TOWN,4.2,,,,,
BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),4.2,,,,,
"BEKI RIVER AT NH37 CROSSING AT BARPETA ROAD, ASSAM",4.2,,,,,
BAITARNI AT JODA ORISSA,4.2,,,,,
"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",4.185,,,,,
YAMUNA AT ETAWAH,4.183333333,,,,,
"RIVER SONE AT CHURHAT,DISTT.SIDHI",4.183333333,,,,,
"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",4.183333333,,,,,
"CAUVERY AT RANGANATHITTU, KARNATAKA",4.183333333,,,,,
"SATLUJ AT D/S RAMPUR, H.P.",4.175,,,,,
GANGUA AT VADIMULA,4.175,,,,,
D/S OF CAUVERY AT BHAGAMANDALA BRIDGE,4.175,,,,,
"RIVER GANGA AT GARDEN REACH, KOLKATA, WEST BENGAL",4.166666667,,,,,
"PENNAR AT SIDDVATA, NELLORE, A.P.",4.166666667,,,,,
BEAS AT 100M D/S INDUST. DISCH. GOINDWAL PUNJAB,4.166666667,,,,,
"INDRAYANI RIVER AT D/S OF ALANDIGAON, PUNE",4.1625,,,,,
"RIVER UMNGOT AT SMIT,",4.15,,,,,
"KRISHNA AT THANGADI , MAHABOOBNAGAR DIST.",4.15,,,,,
"KOLAK AT PATALIA BDG., GUJARAT",4.15,,,,,
GANGA AT U/S SULATANGANJ,4.15,,,,,
"DZUCHA RU IN KOHIMA, NAGALAND",4.15,,,,,
"DIKHOW RIVER AT NAGINI MORA (INTER-STATE BOUNDARIES, ASSAM- NAGALAND)",4.15,,,,,
"DARNA RIVER AT CHEHEDI WATER WORKS (PUMPING STATION), VILLAGE CHEHEDI, TALUKA NASHIK, DISTRICT NASHIK.",4.15,,,,,
D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,4.15,,,,,
BHADRA AT D/S OF BHADRAVATHI,4.15,,,,,
"BETWA U/S, BEENA",4.15,,,,,
GANGA AT PALTA,4.1375,,,,,
RIVER VARUNA B/C WITH RIVER GANGA AT VARANASI,4.133333333,,,,,
"SHEDHI AT KHEDA, GUJARAT",4.125,,,,,
RIVER HINDON AT MAHESHPUR U/S,4.125,,,,,
"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",4.125,,,,,
CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,4.125,,,,,
"KELO RIVER D/S OF RAIGARH, CHHATISGARH.",4.1125,,,,,
DAMODAR AT PANCHET DAM,4.1125,,,,,
YAMUNA AT DAK PATHER (UTTARAKHAND),4.1,,,,,
"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHATWADNER ROAD, HINGANGHAT, WARDHA",4.1,,,,,
"TAPI AT AJAND VILLAGE, RAVER, JALGAON",4.1,,,,,
"RIVER UMKHEN AT WAH KDAIT,",4.1,,,,,
RIVER THONGJAOROK AT THONGJAOROK BRIDGE,4.1,,,,,
RIVER SIUEL AT D/S SURGANI,4.1,,,,,
"RIVER CHOUPAN AT VIJAYPUR U/S NFL NALLA, GUNA",4.1,,,,,
NARMADA AT D S OF OMKARESHWAR M.P.,4.1,,,,,
NARMADA AT CHANDOD,4.1,,,,,
"NABADIP ON GANGA, GHOSHPARA NEAR MONIPURGHAT,NADIA",4.1,,,,,
"MANDAKINI AT CHITRAKUT, M.P.",4.1,,,,,
"MANAS AT NH31 CROSSING, BARPETA, DISTRICT",4.1,,,,,
"KANHAN D/S OF NAGPUR, AGARGAON, KUHI, NAGPUR",4.1,,,,,
"GODAVARI RIVER NEAR SOMESHWAR TEMPLE, SOMESHWAR, NASHIK",4.1,,,,,
"GANGA AT ULUBERIA , HOWRAH,WEST BENGAL",4.1,,,,,
GANGA AT PATIKALI NEAR DURGA CHAK WEST BENGAL,4.1,,,,,
GANGA AT HOWRAHSHIVPUR WEST BENGAL,4.1,,,,,
"DARNA RIVER AT SANSARI, VILLAGE SANSARI,TALUKA NASHIK,DISTRICT NASHIK.",4.1,,,,,
"CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),JandK",4.1,,,,,
"CAUVERY AT SATHYAGALAM BRIDGE, KARNATAKA",4.1,,,,,
"BOGINADI NEAR BRIDGE NH52, LAKHIMPUR, ASSAM",4.1,,,,,
"YAMUNA AT MATHURA U/S , U.P.",4.09,,,,,
MAHANADI AT TIKARPADA,4.09,,,,,
"RIVER GANGA AT BEHRAMPORE, (GORA BAZAR),MURSHIDABAD",4.0875,,,,,
"KHAROON RIVER BUNDRI, RAIPUR, CHHATISGARH.",4.0875,,,,,
"RIVER DAHA U/S SASAMUSA, GOPALGANJ",4.083333333,,,,,
RIVER CAUVERY AT ERODE U/S,4.083333333,,,,,
"KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN., M.P.",4.083333333,,,,,
"RIVER GANGA AT PALTA, SHITALTALA,",4.08,,,,,
MAHANANDA AT SILIGURI,4.08,,,,,
"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NALLA, JABALPUR",4.08,,,,,
RIVER MAHANADI AT KHAROD,4.075,,,,,
"NIRA AT SAROLE BDG.ON PUNE-BANGLORE HIGHWAY, MAHARASHTRA",4.075,,,,,
BHAVANI AT ELACHIVAZHY,4.075,,,,,
RIVER TUNGABHADRA AT MYLARA,4.066666667,,,,,
"MAHANADI AT KHARAD, CHHATISGARH.",4.0625,,,,,
"SUTLEJ RIVER B/C WITH RIVER SPITI AT KHAB, DISTT. KINNAUR",4.05,,,,,
