Year,AVERAGE of BOD_Avg,AVERAGE of DO_Avg,,,,
JHELUM D/S ATBARAMULLA,67.5,,,,,
"CHAMBAL AT DHOLPUR, M.P",63.5,,,,,
BANOI KHAD AT KALAPUL ON CANT ROAD DHARAMSHALA,62.5,,,,,
"MAHANADI AT CUTTACK D/S, ORISSA",62,,,,,
BETWA D/S AFTER MIXING OF BAIS AT VIDISHA,62,,,,,
GHATPRABHA D/S OF MUDHOL RD. CROSS BDG,61.5,,,,,
DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE,61.35,,,,,
MOL KHAD U/S PALAMPUR,61,,,,,
MALPRABHA AT D/S OF AIHOLE TOWN,61,,,,,
GIRI D/S YASHWANT NAGAR,61,,,,,
BHOGDOI RIVER AT JORHAT,60.9,,,,,
DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,58.33333333,,,,,
RIVER GANGA AT HAR- KI-PAURI GHAT,58,,,,,
RIVER THOUBAL AT LITAN BRIDGE,57.6,,,,,
"SATLUJ AT U/S TATAPANI, H.P.",57.15,,,,,
"SAI AT JALALPUR, JAUNPUR",55.1875,,,,,
"MAHANADI AFTER CONFL. WITH R.TEL (SONEPUR D/S),ORISSA",55,,,,,
HEMAVATI D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,55,,,,,
"RIVER GIRI AT NIHARI, KOTKHAL",52.95,,,,,
"KAMENG RIVER AT TIPPI, BHALUKPONG",52.4,,,,,
RIVER NARMADA NEAR ROAD BRIDGE JHANSINGHAT JABALPUR,51.81666667,,,,,
BHADRA AT MALLESWARAM D/S OF KIOCL KARNATAKA,51.25,,,,,
"RIVER INDRAYANI AT D/S OF ALANDIGAON, VILLAGE. ALANDIGAON, TALUKA. HAWELI, DISTRICT. PUNE.",50.3,,,,,
MALPRABHA AT D/S OF KHANAPUR VILLAGE,50,,,,,
"RIVER GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",48.5,,,,,
"CAUVERY AT SRIRANGA PATTANNA, D/S OF ROAD BDG",47,,,,,
"RIVER WARDHA AT D/S OF ACC LTD. GHUGGUS NEAR WCL PUMP HOUSE, VILLAGE- GHUGGUS, TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",46,,,,,
"WARDHA AT RAJURA BRIDGE, MAHARASHTRA",45.75,,,,,
RIVER THOUBAL AT SHONG KONG,44.7,,,,,
"NANDAUR U/S SITARGANJ INDUSTRIAL AREA, US NAGAR",44.5,,,,,
RIVER GHATPRABHA DAVALSHWAR BARRAGE JACKWELL FOR DRINKING WATER SUPPLY,44,,,,,
"TAPI AT SURAT U/S KATHORE, GUJARAT",43.625,,,,,
"RIVER TONS AT BASAMAN MAMA TEMPLE, NEAR PURWA FALL, TEHSIL- SEMARIYA, DIST- REWA",43.5,,,,,
WATER SUPPLY INTAKE POINT TO MYSORE PUMP HOUSE,42.2,,,,,
"KUAKHAI AT BHUBANESWAR U/S, ORISSA",42,,,,,
LAKSHMANTIRTHA AT D/S OF KATTEMALAVADI,41.25,,,,,
"RIVER SINDH AT DABRA, M.P",40.41666667,,,,,
"RIVER SINA NEAR LABOTI TOLL NAKA, VILLAGE. LABOTI, TALUKA. MOHAL, DISTRICT. SOLAPUR.",40.025,,,,,
"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",40,,,,,
RIVER MANER AT WARANGAL U/S (MANERU AT THUMMALA CHERUVU/MADANNAPET),39.5,,,,,
SUBANSIRI AT GEREKAMUKH (B/C WITH BRAH.),39.25,,,,,
RAVI U/S CHAMBA,38.65,,,,,
RIVER IRANG AT TAMENGLONG,38.6,,,,,
"CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVATI,TAMILNADU",38.325,,,,,
"SHANKNI A/C DANKANI,DANTEWADA.",38,,,,,
MANDAKINI AT CHITRAKUT,38,,,,,
"BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA",37.625,,,,,
"RIVER BARNADI NEAR BRIDGE, NH-52,",36.8,,,,,
"DHANSIRI AT GOLAGHAT, ASSAM",36.40833333,,,,,
"SWAN AT D/S NANGAL, UNA",36,,,,,
JHELAM AT CHATTABAL WEIR (OUTLET),35.7,,,,,
PURI U/S MALATIPATPUR,35.5,,,,,
MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,34.9,,,,,
"GODAVARI AT RAJAHMUNDRY D/S, A.P.",34.7,,,,,
"RIVER NARMADA AT LALPUR, JABALPUR",34.55,,,,,
"RAVI AT U/S MADHOPUR, H.P.",34.55,,,,,
SHANKNI RIVER A/C DANKANI RIVER DANTEWADA.,34.1,,,,,
"BASANTER AT SAMBA (BELOW NH-1A BRIDGE), BASANTAR US (R.H.S),JandK",33.85,,,,,
"RIVER URMODI AT NAGTHNE KT WARE, VILLAGE- NAGTHANE,TALUKA- SATARA, DISTRICT- SATARA.",33.75,,,,,
"GODAVARI AT RAJAHMUNDRY U/S, A.P.",33.61666667,,,,,
RIVER UMIAM MAWPHLANG AT NONGKREM,33.5,,,,,
DWARAKESHWAR WATER INTAKE POINT FOR BANKURA TOWN,33.5,,,,,
"RIVER CAUVERY D/S OF AT DUBARE, HANGING BRIDGE (THEPPA DA KINDI)",33.25,,,,,
PARVATI BEFORE CONF. TO BEAS,33,,,,,
"YAMUNA AT U/S OF LAKHWAR DAM, U.P",32.95,,,,,
"DISANG RIVER AT DILLIGHAT, DIBRUGARH DIST., ASSAM",32.7375,,,,,
"RIVER NANDOUR D/S AT SITARGANJ INDUSTRIAL AREA, US NAGAR",32.625,,,,,
"GODAVARI AT RAHER, MAHARASHTRA",32.6,,,,,
"RIVER GODAVARI AT NANDUR- MADHMESHWAR DAM, VILLAGE- NANDUR, TALUKA- NIPHAD",32.5,,,,,
PURI AT GOLASAHI,32,,,,,
KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S,32,,,,,
"KRISHNA AT TINTINI BRIDGE, KARNATAKA",31.73333333,,,,,
"BAITARNI AT ANANDPUR, ORISSA",31.5,,,,,
RIVER HEMAVATHI AT D/S OF HOLENARASIPURA TOWN AT RAMADEV WEIR,31.475,,,,,
"NAO DIHING RIVER AT NAMSAI,",31.25,,,,,
"GANGA AT DAKSHMINESWAR, WEST BENGAL",31.2,,,,,
"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI, ASSAM",30.975,,,,,
"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",30.85,,,,,
